Exam,Year,PaperOrSection,QuestionNumber,PageStart,SourceFile,QuestionLink,SolutionLink_Official,SolutionLink_Answers,SolutionLink_Worked,Topic,Subtopic,ESAT_Module,ESAT_SpecRef,ESAT_Strict,ESAT_Broad,PAT_SpecRef,PAT_Compatibility_Strict,PAT_Compatibility_Broad,Notes
PAT,2019,Part A,20b,32,PAT 2019.pdf,PAT 2019.pdf#page=32,PAT-2019-Solutions.pdf#page=19,,,,,,,,,,,,
PAT,2019,Part A,21a,34,PAT 2019.pdf,PAT 2019.pdf#page=34,PAT-2019-Solutions.pdf#page=20,,,,,,,,,,,,
PAT,2019,Part A,21b,34,PAT 2019.pdf,PAT 2019.pdf#page=34,PAT-2019-Solutions.pdf#page=20,,,,,,,,,,,,
PAT,2019,Part A,21c,34,PAT 2019.pdf,PAT 2019.pdf#page=34,PAT-2019-Solutions.pdf#page=20,,,,,,,,,,,,
PAT,2019,Part A,22,36,PAT 2019.pdf,PAT 2019.pdf#page=36,PAT-2019-Solutions.pdf#page=21,,,,,,,,,,,,
PAT,2019,Part A,23,37,PAT 2019.pdf,PAT 2019.pdf#page=37,PAT-2019-Solutions.pdf#page=22,,,,,,,,,,,,
PAT,2019,Part A,24a,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,
PAT,2019,Part A,24b,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,
PAT,2019,Part A,24c,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,
PAT,2019,Part A,24d,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=23,,,,,,,,,,,,
PAT,2018,Part A,1,2,PAT 2018.pdf,PAT 2018.pdf#page=2,PAT-2018-Solutions.pdf#page=2,,,,,,,,,,,,
PAT,2018,Part A,2,2,PAT 2018.pdf,PAT 2018.pdf#page=2,PAT-2018-Solutions.pdf#page=2,,,,,,,,,,,,
PAT,2018,Part A,3,3,PAT 2018.pdf,PAT 2018.pdf#page=3,PAT-2018-Solutions.pdf#page=3,,,,,,,,,,,,
PAT,2018,Part A,4,3,PAT 2018.pdf,PAT 2018.pdf#page=3,PAT-2018-Solutions.pdf#page=3,,,,,,,,,,,,
PAT,2018,Part A,5,5,PAT 2018.pdf,PAT 2018.pdf#page=5,PAT-2018-Solutions.pdf#page=4,,,,,,,,,,,,
PAT,2018,Part A,6,5,PAT 2018.pdf,PAT 2018.pdf#page=5,PAT-2018-Solutions.pdf#page=4,,,,,,,,,,,,
PAT,2018,Part A,7,6,PAT 2018.pdf,PAT 2018.pdf#page=6,PAT-2018-Solutions.pdf#page=5,,,,,,,,,,,,
PAT,2018,Part A,8,6,PAT 2018.pdf,PAT 2018.pdf#page=6,PAT-2018-Solutions.pdf#page=5,,,,,,,,,,,,
PAT,2018,Part A,9,7,PAT 2018.pdf,PAT 2018.pdf#page=7,PAT-2018-Solutions.pdf#page=6,,,,,,,,,,,,
PAT,2018,Part A,10,7,PAT 2018.pdf,PAT 2018.pdf#page=7,PAT-2018-Solutions.pdf#page=6,,,,,,,,,,,,
PAT,2018,Part A,11,8,PAT 2018.pdf,PAT 2018.pdf#page=8,PAT-2018-Solutions.pdf#page=7,,,,,,,,,,,,
PAT,2018,Part A,12,9,PAT 2018.pdf,PAT 2018.pdf#page=9,PAT-2018-Solutions.pdf#page=8,,,,,,,,,,,,
PAT,2018,Part A,13,9,PAT 2018.pdf,PAT 2018.pdf#page=9,PAT-2018-Solutions.pdf#page=8,,,,,,,,,,,,
PAT,2018,Part A,14,11,PAT 2018.pdf,PAT 2018.pdf#page=11,PAT-2018-Solutions.pdf#page=9,,,,,,,,,,,,
PAT,2018,Part A,15a,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,
PAT,2018,Part A,15b,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,
PAT,2018,Part A,15c,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,
PAT,2018,Part A,15d,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,
PAT,2018,Part A,15e,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,
PAT,2018,Part A,15f,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,
PAT,2018,Part A,16,14,PAT 2018.pdf,PAT 2018.pdf#page=14,PAT-2018-Solutions.pdf#page=11,,,,,,,,,,,,
PAT,2018,Part A,17,15,PAT 2018.pdf,PAT 2018.pdf#page=15,PAT-2018-Solutions.pdf#page=12,,,,,,,,,,,,
PAT,2018,Part A,18a,16,PAT 2018.pdf,PAT 2018.pdf#page=16,PAT-2018-Solutions.pdf#page=13,,,,,,,,,,,,
PAT,2018,Part A,18b,16,PAT 2018.pdf,PAT 2018.pdf#page=16,PAT-2018-Solutions.pdf#page=13,,,,,,,,,,,,
PAT,2018,Part A,19a,18,PAT 2018.pdf,PAT 2018.pdf#page=18,PAT-2018-Solutions.pdf#page=15,,,,,,,,,,,,
PAT,2018,Part A,19b,18,PAT 2018.pdf,PAT 2018.pdf#page=18,PAT-2018-Solutions.pdf#page=15,,,,,,,,,,,,
PAT,2018,Part A,20a,20,PAT 2018.pdf,PAT 2018.pdf#page=20,PAT-2018-Solutions.pdf#page=16,,,,,,,,,,,,
PAT,2018,Part A,20b,20,PAT 2018.pdf,PAT 2018.pdf#page=20,PAT-2018-Solutions.pdf#page=16,,,,,,,,,,,,
PAT,2018,Part A,20c,20,PAT 2018.pdf,PAT 2018.pdf#page=20,PAT-2018-Solutions.pdf#page=16,,,,,,,,,,,,
PAT,2018,Part A,21a,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,
PAT,2018,Part A,21b,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,
PAT,2018,Part A,21c,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,
PAT,2018,Part A,21d,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,
PAT,2018,Part A,21e,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,
PAT,2018,Part A,22,24,PAT 2018.pdf,PAT 2018.pdf#page=24,PAT-2018-Solutions.pdf#page=20,,,,,,,,,,,,
PAT,2018,Part A,23,26,PAT 2018.pdf,PAT 2018.pdf#page=26,PAT-2018-Solutions.pdf#page=21,,,,,,,,,,,,
ENGAA,2016,Section 1,0,8,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=8,ENGAA-2016-Section-1-Solutions.pdf#page=4,,,,,,,,,,,,
ENGAA,2016,Section 1,1,4,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=4,ENGAA-2016-Section-1-Solutions.pdf#page=2,,,,,,,,,,,,
ENGAA,2016,Section 1,2,4,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=4,ENGAA-2016-Section-1-Solutions.pdf#page=2,,,,,,,,,,,,
ENGAA,2016,Section 1,3,1,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=1,ENGAA-2016-Section-1-Solutions.pdf#page=2,,,,,,,,,,,,
ENGAA,2016,Section 1,4,1,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=1,,,,,,,,,,,,,
ENGAA,2016,Section 1,5,1,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=1,ENGAA-2016-Section-1-Solutions.pdf#page=3,,,,,,,,,,,,
ENGAA,2016,Section 1,6,8,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=8,ENGAA-2016-Section-1-Solutions.pdf#page=9,,,,,,,,,,,,
ENGAA,2016,Section 1,7,9,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=9,,,,,,,,,,,,,
ENGAA,2016,Section 1,8,9,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=9,ENGAA-2016-Section-1-Solutions.pdf#page=10,,,,,,,,,,,,
ENGAA,2016,Section 1,9,10,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=10,,,,,,,,,,,,,
ENGAA,2016,Section 1,10,10,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=10,ENGAA-2016-Section-1-Solutions.pdf#page=3,,,,,,,,,,,,
ENGAA,2016,Section 1,11,11,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=11,,,,,,,,,,,,,
ENGAA,2016,Section 1,12,11,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=11,,,,,,,,,,,,,
ENGAA,2016,Section 1,13,12,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=12,,,,,,,,,,,,,
ENGAA,2016,Section 1,14,13,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=13,,,,,,,,,,,,,
ENGAA,2016,Section 1,15,14,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=14,,,,,,,,,,,,,
ENGAA,2016,Section 1,16,15,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=15,,,,,,,,,,,,,
ENGAA,2016,Section 1,17,16,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=16,,,,,,,,,,,,,
ENGAA,2016,Section 1,18,17,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=17,,,,,,,,,,,,,
ENGAA,2016,Section 1,19,18,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=18,,,,,,,,,,,,,
ENGAA,2016,Section 1,20,19,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=19,,,,,,,,,,,,,
ENGAA,2016,Section 1,21,20,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=20,,,,,,,,,,,,,
ENGAA,2016,Section 1,22,21,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=21,,,,,,,,,,,,,
ENGAA,2016,Section 1,23,22,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=22,,,,,,,,,,,,,
ENGAA,2016,Section 1,24,23,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=23,,,,,,,,,,,,,
ENGAA,2016,Section 1,25,23,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=23,,,,,,,,,,,,,
ENGAA,2016,Section 1,26,24,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=24,,,,,,,,,,,,,
ENGAA,2016,Section 1,27,25,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=25,,,,,,,,,,,,,
ENGAA,2016,Section 1,28,26,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=26,,,,,,,,,,,,,
ENGAA,2016,Section 1,29,28,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=28,,,,,,,,,,,,,
ENGAA,2016,Section 1,30,29,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=29,,,,,,,,,,,,,
ENGAA,2016,Section 1,31,30,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=30,,,,,,,,,,,,,
ENGAA,2016,Section 1,32,31,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=31,ENGAA-2016-Section-1-Solutions.pdf#page=7,,,,,,,,,,,,
ENGAA,2016,Section 1,33,32,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=32,,,,,,,,,,,,,
ENGAA,2016,Section 1,34,33,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=33,,,,,,,,,,,,,
ENGAA,2016,Section 1,35,34,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=34,,,,,,,,,,,,,
ENGAA,2016,Section 1,36,8,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=8,ENGAA-2016-Section-1-Solutions.pdf#page=7,,,,,,,,,,,,
ENGAA,2016,Section 1,37,35,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=35,,,,,,,,,,,,,
ENGAA,2016,Section 1,38,36,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=36,,,,,,,,,,,,,
ENGAA,2016,Section 1,39,36,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=36,,,,,,,,,,,,,
ENGAA,2016,Section 1,40,37,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=37,ENGAA-2016-Section-1-Solutions.pdf#page=17,,,,,,,,,,,,
ENGAA,2016,Section 1,41,38,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=38,,,,,,,,,,,,,
ENGAA,2016,Section 1,42,39,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=39,,,,,,,,,,,,,
ENGAA,2016,Section 1,43,40,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=40,,,,,,,,,,,,,
ENGAA,2016,Section 1,44,40,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=40,,,,,,,,,,,,,
ENGAA,2016,Section 1,45,41,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=41,,,,,,,,,,,,,
ENGAA,2016,Section 1,46,22,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=22,,,,,,,,,,,,,
ENGAA,2016,Section 1,47,42,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=42,,,,,,,,,,,,,
ENGAA,2016,Section 1,48,42,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=42,ENGAA-2016-Section-1-Solutions.pdf#page=8,,,,,,,,,,,,
ENGAA,2016,Section 1,49,43,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=43,,,,,,,,,,,,,
ENGAA,2016,Section 1,50,43,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=43,,,,,,,,,,,,,
ENGAA,2016,Section 1,51,44,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=44,,,,,,,,,,,,,
ENGAA,2016,Section 1,52,44,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=44,,,,,,,,,,,,,
ENGAA,2016,Section 1,53,45,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=45,,,,,,,,,,,,,
ENGAA,2016,Section 1,54,45,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=45,,,,,,,,,,,,,
ENGAA,2016,Section 1,56,8,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=8,,,,,,,,,,,,,
ENGAA,2016,Section 1,82,4,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=4,,,,,,,,,,,,,
ENGAA,2016,Section 1,85,32,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=32,,,,,,,,,,,,,
ENGAA,2016,Section 1,90,21,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=21,,,,,,,,,,,,,
ENGAA,2016,Section 1,180,21,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=21,ENGAA-2016-Section-1-Solutions.pdf#page=8,,,,,,,,,,,,
ENGAA,2016,Section 1,214,4,ENGAA 2016 Section 1.pdf,ENGAA 2016 Section 1.pdf#page=4,,,,,,,,,,,,,
ENGAA,2016,Section 2,1a,3,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=3,,,,,,,,,,,,,
ENGAA,2016,Section 2,1b,4,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=4,,,,,,,,,,,,,
ENGAA,2016,Section 2,1c,4,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=4,,,,,,,,,,,,,
ENGAA,2016,Section 2,2a,6,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=6,,,,,,,,,,,,,
ENGAA,2016,Section 2,2b,7,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=7,,,,,,,,,,,,,
ENGAA,2016,Section 2,2c,8,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=8,,,,,,,,,,,,,
ENGAA,2016,Section 2,2d,5,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=5,,,,,,,,,,,,,
ENGAA,2016,Section 2,3a,10,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=10,,,,,,,,,,,,,
ENGAA,2016,Section 2,3b,10,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=10,,,,,,,,,,,,,
ENGAA,2016,Section 2,3c,11,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=11,,,,,,,,,,,,,
ENGAA,2016,Section 2,3d,9,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=9,,,,,,,,,,,,,
ENGAA,2016,Section 2,4a,13,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=13,,,,,,,,,,,,,
ENGAA,2016,Section 2,4b,14,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=14,,,,,,,,,,,,,
ENGAA,2016,Section 2,4c,15,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=15,,,,,,,,,,,,,
ENGAA,2016,Section 2,4d,16,ENGAA 2016 Section 2.pdf,ENGAA 2016 Section 2.pdf#page=16,,,,,,,,,,,,,
ENGAA,2017,Section 1,0,5,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=5,,,,,,,,,,,,,
ENGAA,2017,Section 1,1,4,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=4,ENGAA-2017-Section-1-Solutions.pdf#page=3,,,,,,,,,,,,
ENGAA,2017,Section 1,2,5,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=5,ENGAA-2017-Section-1-Solutions.pdf#page=2,,,,,,,,,,,,
ENGAA,2017,Section 1,3,6,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=6,,,,,,,,,,,,,
ENGAA,2017,Section 1,4,6,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=6,ENGAA-2017-Section-1-Solutions.pdf#page=10,,,,,,,,,,,,
ENGAA,2017,Section 1,5,7,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=7,ENGAA-2017-Section-1-Solutions.pdf#page=8,,,,,,,,,,,,
ENGAA,2017,Section 1,6,8,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=8,ENGAA-2017-Section-1-Solutions.pdf#page=9,,,,,,,,,,,,
ENGAA,2017,Section 1,7,9,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=9,,,,,,,,,,,,,
ENGAA,2017,Section 1,8,9,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=9,,,,,,,,,,,,,
ENGAA,2017,Section 1,9,10,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=10,,,,,,,,,,,,,
ENGAA,2017,Section 1,10,11,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=11,,,,,,,,,,,,,
ENGAA,2017,Section 1,11,11,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=11,,,,,,,,,,,,,
ENGAA,2017,Section 1,12,12,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=12,ENGAA-2017-Section-1-Solutions.pdf#page=7,,,,,,,,,,,,
ENGAA,2017,Section 1,13,12,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=12,,,,,,,,,,,,,
ENGAA,2017,Section 1,14,13,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=13,,,,,,,,,,,,,
ENGAA,2017,Section 1,15,13,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=13,,,,,,,,,,,,,
ENGAA,2017,Section 1,16,14,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=14,,,,,,,,,,,,,
ENGAA,2017,Section 1,17,14,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=14,,,,,,,,,,,,,
ENGAA,2017,Section 1,18,15,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=15,,,,,,,,,,,,,
ENGAA,2017,Section 1,19,16,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=16,,,,,,,,,,,,,
ENGAA,2017,Section 1,20,16,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=16,,,,,,,,,,,,,
ENGAA,2017,Section 1,21,16,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=16,,,,,,,,,,,,,
ENGAA,2017,Section 1,22,17,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=17,,,,,,,,,,,,,
ENGAA,2017,Section 1,23,17,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=17,,,,,,,,,,,,,
ENGAA,2017,Section 1,24,18,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=18,,,,,,,,,,,,,
ENGAA,2017,Section 1,26,20,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=20,,,,,,,,,,,,,
ENGAA,2017,Section 1,27,21,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=21,,,,,,,,,,,,,
ENGAA,2017,Section 1,28,22,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=22,,,,,,,,,,,,,
ENGAA,2017,Section 1,29,24,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=24,,,,,,,,,,,,,
ENGAA,2017,Section 1,30,17,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=17,,,,,,,,,,,,,
ENGAA,2017,Section 1,31,26,ENGAA 2017 Section 1.pdf,ENGAA 2017 Section 1.pdf#page=26,,,,,,,,,,,,,
